40, 100, 34.37756564633078, 707, 1119, 70, 1809, 0, 1670164099435, 1670164101836, [30, 12, 27], [1, 1], 59.205911656933075
50, 100, 35.091076055743756, 580, 1145, 23, 1826, 0, 1670164156606, 1670164158322, [40, 13, 26], [1, 0], 69.4093248470061
60, 100, 30.19536113929449, 695, 1232, 29, 2157, 0, 1670164215470, 1670164218978, [50, 11, 25], [1, 1], 61.2909258154811
50, 90, 25.37303962700695, 796, 1431, 26, 2445, 0, 1670164278029, 1670164280437, [60, 12, 25], [-1, -1], 50.13971383862235
50, 90, 30.25798573154296, 491, 995, 22, 2085, 0, 1670164320179, 1670164324090, [50, 13, 26], [0, 0], 73.52557414708052
60, 90, 29.878944313494607, 833, 1518, 39, 2090, 0, 1670164380034, 1670164383903, [50, 13, 25], [1, 0], 47.24331194778857
70, 80, 12.762622374362854, 1444, 4349, 41, 10093, 0, 1670164515072, 1670164521650, [60, 11, 25], [1, -1], 26.75494926826562
70, 80, 24.019616397128374, 845, 1774, 30, 2513, 0, 1670164564852, 1670164572323, [70, 11, 25], [0, 0], 42.50442599914936
70, 80, 28.42811798609521, 712, 1640, 18, 2735, 0, 1670164626366, 1670164628416, [70, 11, 25], [0, 0], 48.44301298466321
80, 80, 38.828633987722405, 585, 1148, 34, 1733, 0, 1670164679959, 1670164684963, [70, 11, 25], [1, 0], 54.03108821660836
90, 70, 36.014910374582925, 634, 1360, 50, 1766, 0, 1670164738711, 1670164742205, [80, 11, 25], [1, -1], 44.98369807820837
100, 70, 21.92099951622513, 827, 1437, 38, 2883, 0, 1670164809561, 1670164817178, [90, 11, 25], [1, 0], 38.264581072857695
110, 70, 21.810383227396592, 903, 1937, 41, 2995, 0, 1670164878935, 1670164884953, [100, 12, 25], [1, 0], 35.34491216214787
100, 80, 42.60115235029692, 576, 993, 42, 1521, 0, 1670164941411, 1670164944252, [110, 10, 25], [-1, 1], 53.590237112938645
90, 70, 30.277934782537635, 778, 1403, 37, 2225, 0, 1670165011533, 1670165012701, [100, 11, 25], [-1, -1], 38.927308449849505
100, 80, 13.778788816248465, 1204, 2803, 22, 4885, 0, 1670165098552, 1670165103175, [90, 11, 25], [1, 1], 31.768341309164516
100, 70, 33.4738264070574, 642, 1267, 14, 2006, 0, 1670165146571, 1670165148394, [100, 10, 25], [0, -1], 45.109178707636424
100, 70, 30.94888015331903, 531, 875, 29, 2134, 3, 1670165204683, 1670165208685, [100, 10, 25], [0, 0], 53.45180120844334
110, 60, 19.93019929031168, 874, 1285, 56, 8783, 4, 1670165316650, 1670165318065, [100, 9, 25], [1, -1], 31.455746890803997
110, 60, 25.84431373515678, 648, 1280, 27, 2777, 0, 1670165362533, 1670165369423, [110, 8, 25], [0, 0], 39.926681041696646
110, 70, 22.437751849733097, 882, 1548, 20, 2668, 0, 1670165416819, 1670165419270, [110, 10, 24], [0, 1], 36.017456872706354
