60, 50, 191.75473044028212, 21, 48, 7, 153, 0, 1675813364875, 1675813365918, [60, 4, 5], [0, -1], 726.3436759101594
60, 60, 186.88800069101444, 28, 61, 7, 156, 0, 1675813404538, 1675813405579, [60, 4, 5], [0, 1], 540.138730320851
60, 50, 189.85573847304445, 13, 24, 7, 39, 0, 1675813444008, 1675813445072, [60, 4, 5], [0, -1], 1249.0509110068713
60, 60, 192.30840350740942, 17, 29, 7, 147, 0, 1675813484471, 1675813485515, [60, 3, 5], [0, 1], 991.2804304505639
60, 50, 189.57771787960468, 17, 32, 8, 52, 0, 1675813524330, 1675813525370, [60, 4, 5], [0, -1], 947.8885893980234
60, 50, 189.34506143633416, 22, 55, 8, 160, 0, 1675813564364, 1675813565405, [60, 4, 5], [0, -1], 662.0456693578118
60, 50, 191.6630697315615, 11, 16, 8, 26, 0, 1675813603814, 1675813604857, [60, 4, 5], [0, -1], 1597.1922477630126
60, 50, 191.571056989637, 16, 29, 7, 54, 0, 1675813643550, 1675813644594, [60, 4, 5], [0, -1], 1029.9519192991236
60, 50, 188.76933794432952, 12, 18, 7, 42, 0, 1675813683091, 1675813684154, [60, 4, 5], [0, -1], 1430.0707420024964
60, 50, 191.47922051733303, 17, 30, 8, 171, 0, 1675813722574, 1675813723620, [60, 4, 5], [0, -1], 976.9347985578214
60, 50, 191.93857965451056, 12, 21, 7, 39, 0, 1675813762020, 1675813763078, [60, 4, 5], [0, -1], 1390.859272858772
60, 60, 191.4795715403977, 12, 19, 7, 46, 0, 1675813801531, 1675813802583, [60, 3, 5], [0, 1], 1428.9520264208782
60, 50, 189.9336945620883, 10, 15, 7, 27, 0, 1675813841043, 1675813842085, [60, 4, 5], [0, -1], 1726.6699505644392
60, 50, 191.93928676687298, 13, 22, 7, 40, 0, 1675813880633, 1675813881673, [60, 4, 5], [0, -1], 1296.8870727491417
60, 50, 177.13812099608646, 21, 47, 7, 156, 0, 1675813920644, 1675813921688, [60, 4, 5], [0, -1], 676.0996984583452
60, 50, 191.02824098021023, 12, 22, 7, 41, 0, 1675813960378, 1675813961420, [60, 4, 5], [0, -1], 1364.48743557293
60, 50, 189.15612221900255, 17, 31, 8, 49, 0, 1675814000054, 1675814001098, [60, 4, 5], [0, -1], 955.333950601023
60, 60, 189.40005380683345, 20, 49, 7, 156, 0, 1675814039769, 1675814040816, [60, 3, 5], [0, 1], 734.1087356854009
60, 50, 191.4795715403977, 12, 20, 7, 32, 0, 1675814079303, 1675814080348, [60, 4, 5], [0, -1], 1407.9380260323358
60, 50, 190.93187514240145, 14, 33, 7, 56, 0, 1675814118794, 1675814119835, [60, 4, 5], [0, -1], 1072.6509839460755
60, 50, 190.7522022464551, 13, 24, 7, 45, 0, 1675814158267, 1675814160038, [60, 3, 5], [0, -1], 1254.9486989898362
